External Library Name, Link to License, License Name, Binaries using the license.
mesa, https://mesa3d.org/license.html, MIT, ./emulator lib64/gles_mesa/libGL.so lib64/gles_mesa/libGL.so.1, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/MesaLib-10.4.2.tar.bz2
Tink, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master/LICENSE, Apache-2.0, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qsn ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master
qemu-system, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSES/LICENSE.APACHE2, Apache-2.0, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
None, Apache-2.0, Apache-2.0, ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img android-emu-metrics.so ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-x86_64-headless android-emu-curl.so ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-armel-headless android-emu-agents.so ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./emulator emugl_common.so ./qsn ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, 
keymaster-3, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3/NOTICE, Apache-2.0, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
LibXml2, https://github.com/GNOME/libxml2/blob/mainline/Copyright, MIT, ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img android-emu-metrics.so ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./emulator emugl_common.so ./qsn ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libxml2-2.9.2.tar.gz
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
libc++, https://android.googlesource.com/toolchain/clang/+/refs/heads/master/LICENSE.TXT, LLVM-exception, ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 lib64/libc++.so ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./emulator ./mksdcard lib64/libc++.so.1 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qsn ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/toolchain/clang/+/refs/heads/master/
tcmalloc, https://chromium.googlesource.com/external/github.com/gperftools/gperftools/+/refs/heads/master/COPYING, BSD-3-Clause, OpenglRender.so ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img android-emu-metrics.so ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-x86_64-headless android-emu-curl.so ./qemu/linux-x86_64/qemu-system-aarch64 lib64/libtcmalloc_minimal.so.4 ./qemu/linux-x86_64/qemu-system-armel-headless android-emu-agents.so ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./emulator emugl_common.so ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qsn ./qemu/linux-x86_64/qemu-system-x86_64, https://chromium.googlesource.com/external/github.com/gperftools/gperftools/+/refs/heads/master
